"HealthcareService.identifier","HealthcareService.identifier","","","",1,*,"Y","","Y","Identifier {[]} {[]}
","Identificador de la Unidad Clinica HLF","Identificador de la Unidad Clinica HLF","","","","","","","","","",,,,,"",,,,"HealthcareService.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.identifier",".id","Participant.identifier"
"HealthcareService.active","HealthcareService.active","","","",0,1,"","Y","Y","boolean {[]} {[]}
","Whether this HealthcareService record is in active use","This flag is used to mark the record to not be used. This is not used when a center is closed for maintenance, or for holidays, the notAvailable period is to be used for this.","This element is labeled as a modifier because it may be used to mark that the resource was created in error.","","","This resource is generally assumed to be active if no value is provided for the active element","","","","","",,,,,"",,,,"HealthcareService.active",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.status",".statusCode","Participant.active"
"HealthcareService.providedBy","HealthcareService.providedBy","","","",0,1,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Organizacion a la que pertenece la Unidad Clinica HLF","Organizacion a la que pertenece la Unidad Clinica HLF.","This property is recommended to be the same as the Location's managingOrganization, and if not provided should be interpreted as such. If the Location does not have a managing Organization, then this property should be populated.","","","","","","","","",,,,,"",,,,"HealthcareService.providedBy",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".scopingRole.Organization"
"HealthcareService.offeredIn","HealthcareService.offeredIn","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/HealthcareService]]}
","The service within which this service is offered","When the HealthcareService is representing a specific, schedulable service, the availableIn property can refer to a generic service.","For example, if there is a generic Radiology service that offers CT Scans, MRIs, etc.  You could have HealthcareService resources for the CT Scans and MRIs, which have an offeredIn reference to the Radiology HealthcareService.","","","","","","","","",,,,,"",,,,"HealthcareService.offeredIn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HealthcareService.category","HealthcareService.category","","service category
","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Broad category of service being performed or delivered","Identifies the broad category of service being performed or delivered.","Selecting a Service Category then determines the list of relevant service types that can be selected in the primary service type.","","","","","","","","",,"example","A category of the service(s) that could be provided.","http://hl7.org/fhir/ValueSet/service-category","",,,,"HealthcareService.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.class",".code"
"HealthcareService.type","HealthcareService.type","","service type
","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Tipo de la Unidad Clinica HLF","Tipo de la Unidad Clinica HLF","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/service-type","",,,,"HealthcareService.type",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].code"
"HealthcareService.specialty","HealthcareService.specialty","","","",0,*,"Y","","Y","CodeableConcept {[]} {[]}
","Especialidad Médica de la Unidad Clinica HLF","Especialidad Médica de la Unidad Clinica HLF","","","","","","","","","",,"preferred","A specialty that a healthcare service may provide.","http://hl7.org/fhir/ValueSet/c80-practice-codes","",,,,"HealthcareService.specialty",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].code"
"HealthcareService.specialty.id","HealthcareService.specialty.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"HealthcareService.specialty.extension","HealthcareService.specialty.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HealthcareService.specialty.coding","HealthcareService.specialty.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)"
"HealthcareService.specialty.coding.id","HealthcareService.specialty.coding.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"HealthcareService.specialty.coding.extension","HealthcareService.specialty.coding.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HealthcareService.specialty.coding.system","HealthcareService.specialty.coding.system","","","",0,1,"","","Y","uri {[]} {[]}
","Identity of the terminology system","The identification of the code system that defines the meaning of the symbol in the code.","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should be an absolute reference to some definition that establishes the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","","","","","",,,,,"",,,,"Coding.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystem"
"HealthcareService.specialty.coding.version","HealthcareService.specialty.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","Version of the system - if relevant","The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured, and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystemVersion"
"HealthcareService.specialty.coding.code","HealthcareService.specialty.coding.code","","","",1,1,"Y","","Y","code {[]} {[]}
","Código de Especialidad Médica de la Unidad Clinica HLF","Código de Especialidad Médica de la Unidad Clinica HLF","","Need to refer to a particular code in the system.","","","","","","","",,"required","","https://hospitallaflorida.cl/fhir/hlfhosp/ValueSet/VSEspecialidadMedica","",,,,"Coding.code",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./code"
"HealthcareService.specialty.coding.display","HealthcareService.specialty.coding.display","","","",1,1,"Y","","Y","string {[]} {[]}
","Nombre de Especialidad Médica de la Unidad Clinica HLF","Nombre de Especialidad Médica de la Unidad Clinica HLF","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"cod-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CV.displayName"
"HealthcareService.specialty.coding.userSelected","HealthcareService.specialty.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","If this coding was chosen directly by the user","Indicates that this coding was chosen by a user directly - e.g. off a pick list of available items (codes or displays).","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CD.codingRationale"
"HealthcareService.specialty.text","HealthcareService.specialty.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data"
"HealthcareService.location","HealthcareService.location","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Location(s) where service may be provided","The location(s) where this healthcare service may be provided.","","","","","","","","","",,,,,"",,,,"HealthcareService.location",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","FiveWs.where[x]",".location.role[classCode=SDLOC]"
"HealthcareService.name","HealthcareService.name","","","",1,1,"Y","","Y","string {[]} {[]}
","Nombre de la Unidad Clinica HLF","Nombre de la Unidad Clinica HLF","","","","","","","","","",,,,,"",,,,"HealthcareService.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".name","Participant.name"
"HealthcareService.comment","HealthcareService.comment","","","",0,1,"","","Y","markdown {[]} {[]}
","Additional description and/or any specific issues not covered elsewhere","Any additional description of the service and/or any specific issues not covered by the other attributes, which can be displayed as further detail under the serviceName.","Would expect that a user would not see this information on a search results, and it would only be available when viewing the complete details of the service.","","","","","","","","",,,,,"",,,,"HealthcareService.comment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".location.role[classCode=SDLOC].desc"
"HealthcareService.extraDetails","HealthcareService.extraDetails","","","",0,1,"","","","markdown {[]} {[]}
","Extra details about the service that can't be placed in the other fields","Extra details about the service that can't be placed in the other fields.","","","","","","","","","",,,,,"",,,,"HealthcareService.extraDetails",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=COMP.act[classCode=ACT][moodCode=DEF].text"
"HealthcareService.photo","HealthcareService.photo","","","",0,1,"","","Y","Attachment {[]} {[]}
","Facilitates quick identification of the service","If there is a photo/symbol associated with this HealthcareService, it may be included here to facilitate quick identification of the service in a list.","","","","","","","","","",,,,,"",,,,"HealthcareService.photo",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=SBJ].observation.value"
"HealthcareService.contact","HealthcareService.contact","","","",0,*,"","","","ExtendedContactDetail {[]} {[]}
","Official contact details for the HealthcareService","The contact details of communication devices available relevant to the specific HealthcareService. This can include addresses, phone numbers, fax numbers, mobile numbers, email addresses and web sites.","The address/telecom use code 'home' are not to be used. Note that these contacts are not the contact details of people who provide the service (that would be through PractitionerRole), these are official contacts for the HealthcareService itself for specific purposes. E.g. Mailing Addresses, Billing Addresses, Contact numbers for Booking or Billing Enquiries, general web address, web address for online bookings etc.

If this is empty (or the type of interest is empty), refer to the location's contacts.","Need to keep track of both simple contact details and also assigned contacts within larger organizations.","","","","","","","",,,,,"",,,,"HealthcareService.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HealthcareService.coverageArea","HealthcareService.coverageArea","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Location(s) service is intended for/available to","The location(s) that this service is available to (not where the service is provided).","The locations referenced by the coverage area can include both specific locations, including areas, and also conceptual domains too (mode = kind), such as a physical area (tri-state area) and some other attribute (covered by Example Care Organization). These types of Locations are often not managed by any specific organization. This could also include generic locations such as ""in-home"".","","","","","","","","",,,,,"",,,,"HealthcareService.coverageArea",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".location.role[classCode=SDLOC].subjectOf.A_SpatialCoordinate"
"HealthcareService.serviceProvisionCode","HealthcareService.serviceProvisionCode","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Conditions under which service is available/offered","The code(s) that detail the conditions under which the healthcare service is available/offered.","The provision means being commissioned by, contractually obliged or financially sourced. Types of costings that may apply to this healthcare service, such if the service may be available for free, some discounts available, or fees apply.","","","","","","","","",,"example","The code(s) that detail the conditions under which the healthcare service is available/offered.","http://hl7.org/fhir/ValueSet/service-provision-conditions","",,,,"HealthcareService.serviceProvisionCode",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PRCN].observation[moodCode=EVN.CRT]"
"HealthcareService.eligibility","HealthcareService.eligibility","","","",0,*,"","","","BackboneElement {[]} {[]}
","Specific eligibility requirements required to use the service","Does this service have specific eligibility requirements that need to be met in order to use the service?","","","","","","","","","",,,,,"",,,,"HealthcareService.eligibility",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HealthcareService.eligibility.id","HealthcareService.eligibility.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"HealthcareService.eligibility.extension","HealthcareService.eligibility.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HealthcareService.eligibility.modifierExtension","HealthcareService.eligibility.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HealthcareService.eligibility.code","HealthcareService.eligibility.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Coded value for the eligibility","Coded value for the eligibility.","","","","","","","","","",,"example","Coded values underwhich a specific service is made available.","","",,,,"HealthcareService.eligibility.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PRCN].observation[moodCode=EVN.CRT]"
"HealthcareService.eligibility.comment","HealthcareService.eligibility.comment","","","",0,1,"","","","markdown {[]} {[]}
","Describes the eligibility conditions for the service","Describes the eligibility conditions for the service.","The description of service eligibility should, in general, not exceed one or two paragraphs. It should be sufficient for a prospective consumer to determine if they are likely to be eligible or not. Where eligibility requirements and conditions are complex, it may simply be noted that an eligibility assessment is required. Where eligibility is determined by an outside source, such as an Act of Parliament, this should be noted, preferably with a reference to a commonly available copy of the source document such as a web page.","","","","","","","","",,,,,"",,,,"HealthcareService.eligibility.comment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PRCN].observation[moodCode=EVN.CRT].text"
"HealthcareService.program","HealthcareService.program","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Programs that this service is applicable to","Programs that this service is applicable to.","Programs are often defined externally to an Organization, commonly by governments; e.g. Home and Community Care Programs, Homeless Program, ….","","","","","","","","",,"example","Government or local programs that this service applies to.","http://hl7.org/fhir/ValueSet/program","",,,,"HealthcareService.program",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PERT].observation"
"HealthcareService.characteristic","HealthcareService.characteristic","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Collection of characteristics (attributes)","Collection of characteristics (attributes).","These could be such things as is wheelchair accessible.","","","","","","","","",,"example","A custom attribute that could be provided at a service (e.g. Wheelchair accessibility).","http://hl7.org/fhir/ValueSet/service-mode","",,,,"HealthcareService.characteristic",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PERT].observation"
"HealthcareService.communication","HealthcareService.communication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The language that this service is offered in","Some services are specifically made available in multiple languages, this property permits a directory to declare the languages this is offered in. Typically this is only provided where a service operates in communities with mixed languages used.","When using this property it indicates that the service is available with this language, it is not derived from the practitioners, and not all are required to use this language, just that this language is available while scheduling.","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"HealthcareService.communication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"HealthcareService.referralMethod","HealthcareService.referralMethod","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Ways that the service accepts referrals","Ways that the service accepts referrals, if this is not provided then it is implied that no referral is required.","","","","","","","","","",,"example","The methods of referral can be used when referring to a specific HealthcareService resource.","http://hl7.org/fhir/ValueSet/service-referral-method","",,,,"HealthcareService.referralMethod",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PERT].observation"
"HealthcareService.appointmentRequired","HealthcareService.appointmentRequired","","","",0,1,"","","","boolean {[]} {[]}
","If an appointment is required for access to this service","Indicates whether or not a prospective consumer will require an appointment for a particular service at a site to be provided by the Organization. Indicates if an appointment is required for access to this service.","","","","","","","","","",,,,,"",,,,"HealthcareService.appointmentRequired",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".actrelationship[typeCode=PERT].observation"
